source,year,total_in_migration,moe,lower_bound,upper_bound
Tyler_ACS1,2005,16814.0,2996.1937520794613,13817.806247920538,19810.19375207946
Tyler_ACS1,2006,13726.0,2707.226809855428,11018.773190144571,16433.226809855427
Tyler_ACS1,2007,14573.0,2730.3626132805143,11842.637386719485,17303.362613280515
Tyler_ACS1,2008,14059.0,3383.052615612119,10675.94738438788,17442.05261561212
Tyler_ACS1,2009,15956.0,3405.246833931426,12550.753166068575,19361.246833931425
Tyler_ACS1,2010,14361.0,3657.3674958909996,10703.632504109,18018.367495890998
Tyler_ACS1,2011,19403.0,4321.051955253489,15081.94804474651,23724.05195525349
Tyler_ACS1,2012,20525.0,4612.667232740728,15912.332767259271,25137.66723274073
Tyler_ACS1,2013,15526.0,3059.75129708282,12466.248702917179,18585.75129708282
Tyler_ACS1,2014,12223.0,2709.4621237433826,9513.537876256618,14932.462123743382
Tyler_ACS1,2015,14372.0,2674.4051675092164,11697.594832490784,17046.405167509216
Tyler_ACS1,2016,17338.0,4627.329359360538,12710.670640639462,21965.329359360538
Tyler_ACS1,2017,13253.0,2965.651867633826,10287.348132366174,16218.651867633826
Tyler_ACS1,2018,12447.0,2905.620931917995,9541.379068082006,15352.620931917994
Tyler_ACS1,2019,12811.0,2814.1039426431994,9996.8960573568,15625.1039426432
Tyler_ACS1,2021,10981.0,2644.2184100410464,8336.781589958953,13625.218410041047
Tyler_ACS1,2022,13154.0,3274.795566138442,9879.204433861558,16428.79556613844
Tyler_ACS1,2023,12421.0,3126.0431858821144,9294.956814117886,15547.043185882114
Tyler_ACS1,2024,17718.0,3116.679964321008,14601.320035678993,20834.679964321007
Tyler_ACS5,2009,15296.0,1500.2709755240885,13795.729024475912,16796.270975524087
Tyler_ACS5,2014,15839.0,1443.7465151473093,14395.25348485269,17282.746515147308
Tyler_ACS5,2019,14649.0,1555.4247008453992,13093.575299154601,16204.424700845399
Tyler_ACS5,2024,13739.0,1392.1397199993971,12346.860280000603,15131.139719999397
Smith_ACS5,2009,15296.0,1500.2709755240885,13795.729024475912,16796.270975524087
Smith_ACS5,2014,15839.0,1443.7465151473093,14395.25348485269,17282.746515147308
Smith_ACS5,2019,14649.0,1555.4247008453992,13093.575299154601,16204.424700845399
Smith_ACS5,2024,13739.0,1392.1397199993971,12346.860280000603,15131.139719999397
